Route,unique_id
Mexico City via Puerto Vallarta,295db4c9-ca14-4b50-b714-c5cd49513816
YYZto EWR,4a0784d4-7df3-46bd-b3d2-5844aaa80328
"Sault Ste. Marie, Canada - Toronto - Frankfurt - Helsinki",04eab9e7-239d-44d2-a9c4-3eb307bedc8b
Tel Avivito Malta (MLA),fd5d93cb-e892-4da6-81fc-fcf4e3fb7c1a
"Bangkok, to Milan via via Paris",ae20225f-6f2b-4605-88b9-4cb2d244fed0
Geneva and Paris CDG,42413acb-5823-4a49-9465-d6506ce85e6d
Bangalore toChennai,fc064bb8-d5bd-48ab-a2c9-eb797faffa0c
Kansas City via Dallas Ft Worth,5cf2d79e-d220-4771-bfab-87501121a49b
Tokyo Narita (NRT) to Chicago O'Hare (ORD),8a5b45cd-6a62-4f70-a9c2-2d2292672353
Bandung - Kuala Lumpur ,ba259f01-3fc9-479d-8791-33c693480fab
Cincinnati Ft Lauderdale,af48cfc2-d437-47f2-82fd-007178e83547
PIEto DSM,b4e6ee22-aaa4-4a2f-8b62-575bb0d25604
Richmondto Fort Lauderdale,d9bd4cce-5366-4c33-99e6-8c911d7aad33
"Jacksonville, to Louisville,",5e9caec9-c1d0-4fbe-adbc-106d6b861db7
Philadelphia and San Diego,b8258aef-16fe-4f24-b37b-1fdf0bb01421
Charlotte - Frankfurt ,c566999d-b791-4667-82dc-7a61409aabba
Dallas Fort Worth - London Heathrow ,86b828c1-1c07-4f84-85b4-251fcde76f5c
MCO toLAX,1234c7d9-091d-49ac-8c5a-b51ea14a03b7
JFK toTLV via Baku,08b808ce-3d42-4e7b-a460-17d5b083411b
REC - VCP,b800303c-3543-4946-8c77-076e7e5ff249
Krabi toBangkok,de861d81-282d-47fd-a6ac-5e9710df621b
Geneva via Brussels,48755abf-5c83-4141-8a3d-2eb6d42c1406
Lyons - Brussels,5acfa2da-f052-41fb-a516-84d3124240d3
London Singapore ,713d3924-017d-4411-bd03-fd50b4f92ca4
Heathrow (London) to JFK (New York City),1235c3ac-b0c5-46c0-8bb9-da8db5b4af6b
Legazpi - Manila ,a3f3ab7f-ef1f-4b94-8457-7e57c2b1fe92
SYD yo DXB via PVG / KMG,2efe2749-d1f1-4511-a2e0-983a10fdf500
SYD yo PEK via CAN,87648693-250c-429e-a391-06abef810a44
Nuremburg toHamburg,be701bfc-ad2e-40f9-9e88-f575ec76a507
Hong Kong Geneva via Helsinki,cb6e238a-d357-4337-a4f5-ba5e45a0524e
To Sydney from Heathrow,fd68b534-a715-4a85-adf8-8dc8feab5a6f
NCEto KIX via DXB,13385f87-0366-400c-bc57-d095f69d889e
Nursultan via Dubai,acf200b3-cecf-4b76-9e76-b6585091f4be
Mumbai toJaipur,f9bd9a11-5874-42e7-85d4-54b0e24517b1
Denpasar Medan via Jakarta,f6c66fe0-2d75-40d8-a077-4f2b547219ec
Honolulu Seattle ,8c31ae16-a130-447d-9283-4499355d71b3
CGKto AMS,07b0089c-75a8-43a4-89b9-8318bdc75fdb
Cancun via Minneapolis–Saint Paul,6fede28a-cde3-4e7c-9d60-89926636bd5e
